id,warehouse_id,location_id,product_main_code,product_id/id,product_min_qty,product_uom,product_max_qty
count_feb2015_floor1_1,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,291187,product_291187,40000,เล่ม,0
count_feb2015_floor1_2,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TS-NO4NL,product_N-TS-NO4NL,25000,เล่ม,0
count_feb2015_floor1_3,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1184980,product_1184980,35000,เล่ม,0
count_feb2015_floor1_4,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2012644,product_2012644,1000,เล่ม,0
count_feb2015_floor1_5,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2012645,product_2012645,7000,เล่ม,0
count_feb2015_floor1_6,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TS-A70NL,product_N-TS-A70NL,900,เล่ม,0
count_feb2015_floor1_7,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,268309,product_268309,13000,เล่ม,0
count_feb2015_floor1_8,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TS-A90L,product_N-TS-A90L,4000,เล่ม,0
count_feb2015_floor1_9,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TS-AA100NL,product_N-TS-AA100NL,6000,เล่ม,0
count_feb2015_floor1_10,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,103105,product_103105,100000,เล่ม,0
count_feb2015_floor1_11,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800542,product_2800542,500,เล่ม,0
count_feb2015_floor1_12,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2249452,product_2249452,500,เล่ม,0
count_feb2015_floor1_13,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2525970,product_2525970,2000,เล่ม,0
count_feb2015_floor1_14,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1244402,product_1244402,3500,เล่ม,0
count_feb2015_floor1_15,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2525972,product_2525972,0,เล่ม,0
count_feb2015_floor1_16,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2525974,product_2525974,0,เล่ม,0
count_feb2015_floor1_17,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800529,product_2800529,1500,เล่ม,0
count_feb2015_floor1_18,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,268335,product_268335,3000,เล่ม,0
count_feb2015_floor1_19,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1802343,product_1802343,1200,เล่ม,0
count_feb2015_floor1_20,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800546,product_2800546,1500,เล่ม,0
count_feb2015_floor1_21,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-MIS-VE924,product_N-MIS-VE924,15000,เล่ม,0
count_feb2015_floor1_22,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-MIS-DW930,product_N-MIS-DW930,4500,เล่ม,0
count_feb2015_floor1_23,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1184979,product_1184979,3000,เล่ม,0
count_feb2015_floor1_24,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-HVT-70G5100A,product_N-HVT-70G5100A,3000,เล่ม,0
count_feb2015_floor1_25,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800544,product_2800544,1500,เล่ม,0
count_feb2015_floor1_26,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-HVB-51007,product_N-HVB-51007,15000,เล่ม,0
count_feb2015_floor1_27,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1802555,product_1802555,6000,เล่ม,0
count_feb2015_floor1_28,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1534566,product_1534566,4000,เล่ม,0
count_feb2015_floor1_29,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800543,product_2800543,0,เล่ม,0
count_feb2015_floor1_30,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2011923,product_2011923,2000,เล่ม,0
count_feb2015_floor1_31,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2241339,product_2241339,500,เล่ม,0
count_feb2015_floor1_32,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800539,product_2800539,1200,เล่ม,0
count_feb2015_floor1_33,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800538,product_2800538,800,เล่ม,0
count_feb2015_floor1_34,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800545,product_2800545,500,เล่ม,0
